[0,0,22,3,22,3,22,4,22,5,21,5,20,6,20,6,19,5,19,6,18,6,19,7,19,7,18,7,17,7,17,7,18,7,16,7,15,6,15,6,15,5,15,5,15,6,14,6,14,5,14,5,14,4,0,0,14,4,13,4,13,3,13,2,12,3,13,2,13,2,12,2,12,2,11,1,11,1,10,1,11,0,10,0,10,0,10,0,10,-1,9,-1,9,-1,8,-2,8,-1,7,-2,7,-2,6,-2,6,-2,5,-3]
[0,0,-18,15,-17,14,-18,14,-19,13,-19,13,-18,11,-18,12,-18,11,-18,10,-18,10,-19,9,-19,9,-18,9,-18,8,-17,8,-17,9,-16,7,-16,7,-15,7,-15,8,-15,8,-15,7,-14,7,-14,7,-14,7,-13,7,0,0,-13,7,-12,8,-12,7,-12,7,-11,7,-11,7,-11,8,-10,8,-10,8,-9,8,-9,7,-9,7,-9,7,-8,7,-8,7,-7,7,-7,7,-6,6,-6,7,-5,7,-5,6,-5,6,-4,7,-4,6,-4,6,-3,5]
[0,0,18,14,17,14,17,14,17,15,16,15,14,15,14,15,14,14,13,15,12,14,13,15,13,15,12,15,11,15,10,14,11,15,10,13,10,13,10,12,10,12,10,12,10,12,9,12,10,11,10,12,10,10,0,0,10,10,10,10,9,9,9,8,9,8,10,8,9,8,9,7,9,7,10,6,9,6,9,6,9,6,9,5,8,5,8,4,9,4,8,3,8,3,7,2,7,3,7,2,7,2,7,1,6,1,6,0]
[0,0,21,9,21,9,20,10,20,11,19,10,17,11,18,11,17,10,17,11,16,11,16,12,16,12,15,12,14,12,13,11,15,11,13,10,13,10,12,10,13,9,13,9,13,9,12,9,12,8,12,9,12,8,0,0,12,7,12,7,12,7,12,6,11,6,12,5,11,5,11,5,11,4,10,4,10,4,10,4,10,4,10,3,10,3,10,2,10,2,9,1,9,1,8,0,8,1,8,1,8,0,7,-1,7,-1,6,-1]
[0,0,-23,7,-22,6,-23,6,-23,4,-23,4,-22,3,-22,3,-21,3,-21,2,-20,2,-21,0,-21,1,-20,1,-20,0,-19,0,-20,1,-18,0,-17,0,-17,0,-17,1,-17,1,-17,1,-16,0,-16,1,-16,0,-16,2,0,0,-15,1,-15,2,-14,2,-14,3,-13,2,-13,2,-14,3,-12,3,-12,3,-12,3,-12,3,-11,2,-11,3,-10,3,-11,3,-10,3,-10,4,-8,4,-9,4,-8,4,-8,4,-8,4,-7,4,-6,4,-6,4,-6,4]
[0,0,12,-21,11,-20,12,-20,13,-19,13,-19,13,-17,12,-17,12,-17,13,-16,13,-15,13,-15,13,-15,13,-15,13,-14,13,-14,13,-14,11,-13,11,-13,11,-12,11,-13,11,-13,10,-13,10,-12,10,-12,11,-13,9,-12,0,0,8,-12,8,-12,8,-12,7,-12,7,-11,7,-12,7,-12,5,-11,6,-11,4,-11,5,-10,5,-10,4,-11,4,-10,4,-10,2,-10,3,-10,2,-10,1,-9,1,-9,1,-9,1,-9,0,-9,0,-8,0,-8,-1,-7]
[0,0,10,24,9,22,9,24,8,24,7,24,6,22,6,22,6,22,5,22,4,22,3,22,4,22,3,21,2,21,2,20,3,21,3,18,3,18,3,17,4,17,3,17,3,18,2,17,3,17,3,17,4,16,0,0,4,15,4,15,4,15,5,14,4,13,5,13,5,13,5,12,5,12,5,11,5,11,5,11,5,11,6,10,5,10,6,9,6,9,6,8,6,7,7,6,6,7,6,6,6,6,6,5,5,5,5,4]
[0,0,-25,8,-24,8,-25,8,-26,7,-25,6,-24,5,-24,5,-23,4,-24,3,-22,3,-23,2,-23,2,-22,3,-22,1,-21,1,-22,1,-20,1,-20,1,-19,1,-19,2,-19,2,-19,2,-18,2,-17,2,-18,2,-17,3,0,0,-17,2,-16,3,-16,3,-16,3,-15,3,-15,3,-15,4,-14,4,-14,4,-13,4,-13,4,-12,4,-12,4,-11,5,-11,4,-11,5,-11,5,-10,5,-9,5,-9,6,-9,5,-8,5,-7,5,-7,5,-7,4,-6,5]
[0,0,-3,-26,-2,-25,-2,-26,-1,-27,-1,-26,1,-24,0,-24,0,-24,2,-23,2,-23,2,-23,3,-23,2,-22,3,-22,3,-21,2,-22,2,-20,2,-19,2,-19,1,-19,2,-19,1,-19,2,-18,1,-17,1,-18,0,-17,0,0,0,-17,0,-17,-1,-16,-2,-16,-1,-15,-1,-15,-1,-15,-2,-14,-2,-15,-3,-14,-3,-13,-2,-13,-2,-13,-3,-12,-3,-12,-4,-11,-4,-12,-4,-10,-4,-10,-5,-9,-5,-9,-4,-9,-5,-8,-5,-7,-5,-7,-5,-7]
[0,0,16,15,16,15,15,16,15,17,14,16,12,16,13,16,12,16,11,16,11,16,12,16,11,16,11,15,10,16,9,15,10,16,9,14,9,13,9,13,8,13,9,13,8,13,8,12,8,12,9,12,9,11,0,0,9,11,8,10,9,10,9,9,8,10,8,9,8,9,8,8,9,8,8,7,9,7,8,7,8,6,8,6,7,6,8,5,8,5,7,4,7,4,7,3,7,3,7,3,7,3,6,2,6,2,6,1]
